project_id,asset_class,database,sector_code,country,region,invest_usd,tier,supplying_sector,spend_M$,GHG_tCO2e,Employment_FTE,Water_1000m3,ValueAdded_M$,Energy_TJ,NOx_t
Hydro_AF,Energy,exiobase,Energy,Africa,Africa,30000000.0,0,Health_Social,0.9,168.185,23.357,1.21784,0.63,1.0935,0.522
Hydro_AF,Energy,exiobase,Energy,Africa,Africa,30000000.0,0,Agriculture,0.3,49.392,9.768,2.40075,0.228,1.134,0.3915
Hydro_AF,Energy,exiobase,Energy,Africa,Africa,30000000.0,0,Mining_Extraction,2.1,899.539,19.663,5.51578,1.176,12.7575,4.263
Hydro_AF,Energy,exiobase,Energy,Africa,Africa,30000000.0,0,Water_Waste,0.6,92.796,10.238,6.9936,0.414,0.972,0.435
Hydro_AF,Energy,exiobase,Energy,Africa,Africa,30000000.0,1,Construction,1.425,425.733,28.369,1.71399,0.684,3.46275,1.653
Hydro_AF,Energy,exiobase,Energy,Africa,Africa,30000000.0,1,Energy_Utilities,2.2254,706.965,14.327,4.18598,1.42426,25.53647,4.84024
Hydro_AF,Energy,exiobase,Energy,Africa,Africa,30000000.0,1,Manufacturing,4.1973,2113.022,44.914,9.37845,1.76287,18.13234,7.3033
Hydro_AF,Energy,exiobase,Energy,Africa,Africa,30000000.0,1,Transport_Logistics,1.65,369.716,22.222,1.34957,0.99,4.67775,6.699
Hydro_AF,Energy,exiobase,Energy,Africa,Africa,30000000.0,1,Health_Social,1.3488,252.053,35.005,1.82513,0.94416,1.63879,0.7823
Hydro_AF,Energy,exiobase,Energy,Africa,Africa,30000000.0,1,Agriculture,0.5118,84.263,16.664,4.09568,0.38897,1.9346,0.6679
Hydro_AF,Energy,exiobase,Energy,Africa,Africa,30000000.0,1,Mining_Extraction,3.4842,1492.464,32.623,9.15146,1.95115,21.16652,7.07293
Hydro_AF,Energy,exiobase,Energy,Africa,Africa,30000000.0,1,Water_Waste,0.7602,117.573,12.972,8.86089,0.52454,1.23152,0.55114
Hydro_AF,Energy,exiobase,Energy,Africa,Africa,30000000.0,2,Construction,0.61982,185.178,12.339,0.74552,0.29751,1.50617,0.71899
Hydro_AF,Energy,exiobase,Energy,Africa,Africa,30000000.0,2,Energy_Utilities,1.10766,351.882,7.131,2.08351,0.7089,12.71043,2.40917
